fornecedor_id,faturamento_total
794319,1280371.11
792141,191808.72
795345,999838.81
792019,129105.75
30307,5553245.85
790080,244851.83
33928,618759.12
793186,795520.0
30105,464548.25
31267,1301351.41
77800,537069.34
794468,305688.85
33057,616905.46
793120,961921.51
789603,11566544.22
794671,210669.93
30083,336784.68
32816,276472.06
796144,3193334.5
790595,249343.92
794445,508713.43
794223,355730.84
792121,414629.8
790283,200663.66
789423,1384447.04
794365,189942.12
793261,338486.16
796369,157951.55
789112,205435.71
789228,688997.67
793247,450532.77
30791,976317.08
47252,3338278.09
