cod_cli_princ,estado,nome_grupo,hora_chegada,segundos
81217,CE,FARMACIA PADRE CICERO,2026-04-18 08:04:26.582,175395.087969
133168,CE,AFDC DISTRIBUIDORA LTDA,2026-04-18 08:16:19.470,174682.199969
80257,CE,GUEDES E SILVA PRODUTOS FARM. LTDA,2026-04-18 08:32:37.666,173704.003969
93748,CE,FARMACIA BATISTA,2026-04-18 08:37:43.918,173397.751969
107573,CE,CAIXA AQUI E FARMACIA SAO JOSE,2026-04-18 09:44:07.556,169414.113969
91154,CE,FARMAMIL,2026-04-18 09:44:38.707,169382.962969
92311,CE,FARMACIA DO TRABALHADOR A ORIGINAL,2026-04-18 10:10:05.390,167856.279969
124008,CE,COMERCIAL VAREJISTA DE ALIMENTOS LIDERANCA LTDA,2026-04-18 10:26:37.471,166864.198969
983,BA,FARMACIA MORAIS,2026-04-18 10:30:21.156,166640.513969
7367,BA,FARMACIAS MAIS BARATO,2026-04-18 10:38:47.191,166134.478969
83144,CE,SANFARMA SANTO ANTONIO FARMAC-,2026-04-18 10:50:09.323,165452.346969
90773,CE,COSTA E MAR SUPERMRCADOS,2026-04-18 10:51:20.230,165381.439969
84857,CE,COMETA SUPERMERCADO,2026-04-18 11:03:11.212,164670.457969
85839,CE,DROGARIA MULTIPHARMA,2026-04-18 11:28:37.623,163144.046969
80298,CE,FARMACIA CHICO ALEMAO,2026-04-18 11:36:24.112,162677.557969
7587,CE,FARMACIA SANTA CECILIA,2026-04-18 12:14:28.478,160393.191969
131831,CE,JOSE LEONARDO F LTDA,2026-04-18 12:17:36.777,160204.892969
86128,CE,FARMACIA D MAZINHA,2026-04-18 12:23:16.330,159865.339969
92381,CE,ETOS FARMA,2026-04-18 12:24:51.764,159769.905969
129018,CE,FARMACIA ALPHA,2026-04-18 13:29:07.471,155914.198969
120864,CE,MERCANTIL DLS DE ALIMENTOS LTDA,2026-04-18 13:36:48.508,155453.161969
118222,CE,JI COMERCIO VAREJISTA DE ALIMENTOS LTDA,2026-04-18 13:38:56.564,155325.105969
133951,CE,BARATAO DO ATACAREJO LTDA,2026-04-18 16:55:17.991,143543.678969
